"codeplas","Al","CO3","Ca","Cl","EGV25_veld","EGV_calc","EGV_labo","EGV_tit","Fe","HCO3_OEP","K","Mg","Mn","NH4","NH4_N","NO2","NO2_N","NO3","NO3_N","NPOC","N_anorg","Na","O2_veld","O2verz","OH","PO4","PO4_P","S","SD_veld","SO4","SO4_S","Si","TN","TP","T_anion","T_kation","T_veld","WD_veld","ZS_105","ZS_550","absorptie_440","alkaliniteit","chl_a","faeo","pH_labo","pH_veld","sal_veld","verschil_EGV_abs","verschil_EGV_proc","verschil_IC_abs","verschil_IC_proc","turbiditeit"
"ANTKAL0001",0.05,0.6,0.632,4.266,26.3,25.363,25.88,25.88,0.441,2.5,1.716,0.552,0.059,0.149,0.1157011959,0.01,0.00304414,0.726,0.1640010846,16.135,0.2335573637,2.304,12.704,127.13,0.18,0.05,0.016307893,0.5,1.144,0.368,0.1228304406,0.25,1.104,0.05054,0.23214,0.23328,21.05,1.252,0.0125,0.0125,0.04022,0.0409701735,96.76,23.87,5.72,5.5119,0,2.382,10.438,0.0103,2.74,NA
"ANTKAL0004",0.216,0.6,1.116,9.035,64.39,67.353,68.05,68.05,0.859,2.5,1.532,0.74,0.05,0.276,0.214318994,0.01,0.00304414,2.646,0.5977229603,23.891,0.8542084114,5.664,11.367,103.36,0.18,0.05,0.016307893,2.464,0.653,7.145,2.3848464617,0.25,3.018,0.02451,0.44795,0.45762,23.03,0.653,0.0125,0.0125,0.08154,0.0409701735,12.36,6.49,4.659,4.5178,0,6.541,9.546,0.0466,9.15,NA
"ANTKAL0011",0.364,0.6,1.372,11.231,61.86,62.166,61.53,61.53,3.136,2.5,2.937,0.677,0.066,0.59,0.4581456745,0.01,0.00304414,1.155,0.2609108158,36.524,0.6957699171,5.29,11.066,116.97,0.18,0.05,0.016307893,1.252,0.539,3.163,1.0557409877,0.611,3.473,0.02145,0.43072,0.5073,26.27,0.847,0.0125,0.0125,0.14209,0.0409701735,6.91,11.1,4.918,4.7979,0,5.397,10.532,0.1224,13.91,NA
"ANTKAL0019",0.33,0.6,1.274,7.854,49.37,56.434,57.99,57.99,1.025,2.5,2.303,0.698,0.096,0.158,0.1226898588,0.01,0.00304414,3.084,0.6966657629,32.779,0.75950179595,4.489,12.134,104.18,0.18,0.109,0.0355512068,1.311,0.576,2.778,0.9272363153,0.334,2.697,0.17402,0.40409,0.45009,23.12,0.929,0.0125,0.0125,0.15982,0.0409701735,109.82,35.58,4.85,4.7486,0,5.728,9.991,0.0431,6.96,NA
"ANTKAL0021",0.248,0.6,0.758,8.323,51.81,48.59,50.7,50.7,0.672,2.5,1.988,0.629,0.056,0.05,0.0388259045,0.01,0.00304414,0.529,0.1194994128,28.494,0.1613694573,4.526,10.901,109.4,0.18,0.05,0.016307893,0.653,0.725,1.642,0.5480640857,0.296,1.418,0.015,0.35877,0.41809,22.19,0.772,0.0125,0.0125,0.06496,0.0409701735,16.96,9.16,4.693,4.4961,0,4.866,11.198,0.0616,9.5,NA
"ANTKAL0123",0.612,0.6,4.403,7.567,65.31,62.815,66.45,66.45,1.157,7.3,4.815,1.089,0.282,1.159,0.8999844696,0.01,0.00304414,0.584,0.1319237376,58.405,1.0033267938,3.736,9.61,101.1,0.18,0.595,0.1940639267,1.058,0.536,1.184,0.3951935917,1.124,5.664,0.29157,0.61805,0.70264,20.53,0.841,0.0374,0.0125,0.18943,0.1196329071,346.99,118.7,5.749,5.7302,0,3.635,9.36,0.0955,7.72,NA
"ANTKAL0217",0.584,0.6,0.988,7.07,62.3,60.136,62.54,62.54,1.726,2.5,2.088,1.218,0.05,0.118,0.0916291347,0.01,0.00304414,2.214,0.500135538,29.958,0.5948088127,4.756,9.746,108.2,0.18,0.05,0.016307893,3.334,0.855,9.774,3.2623498,1.728,1.672,0.02224,0.44942,0.45896,22.56,1.48,0.0125,0.0125,0.06404,0.0409701735,13.38,12.44,4.856,4.568,0,2.894,4.598,0.071,9.82,NA
"ANTKAL0276",0.199,0.6,1.394,9.207,73.19,71.79,66.61,66.61,2.142,3.94,4.858,0.898,0.074,0.83,0.6445100174,0.01,0.00304414,0.668,0.1508990693,24.046,0.765924086,4.757,10.506,108.8,0.18,0.05,0.016307893,2.488,0.781,6.898,2.3024032043,1.089,2,0.04213,0.52553,0.52674,24.11,1.229,0.02675,0.0125,0.06338,0.06456899355,30.74,24.53,6.032,6.0941,0,5.517,14.631,0.0536,8.77,NA
"ANTKAL0284",0.361,0.6,1.174,10.682,72.19,72.995,70.34,70.34,2.408,2.5,1.81,0.68,0.06,0.218,0.1692809442,0.01,0.00304414,0.581,0.1312460467,38.246,0.3123811067,6.288,10.717,108.44,0.18,0.05,0.016307893,2.362,0.812,6.594,2.2009345793,0.37,2.247,0.03456,0.48597,0.48448,23.22,0.859,0.0125,0.0125,0.10712,0.0409701735,14.94,11.23,4.717,4.6132,0,4.878,7.265,0.0955,12.67,NA
"ANTKAL0288",0.316,0.6,1.025,11.364,75.52,77.727,76.27,76.27,3.45,2.5,2.719,0.663,0.066,3.049,2.3676036654,0.01,0.00304414,1.721,0.3887684109,51.448,2.4167307549,5.699,8.363,77.84,0.18,0.05,0.016307893,1.952,0.393,2.943,0.9823097464,2.51,5.211,0.06842,0.60241,0.69239,20.91,0.889,0.02075,0.0125,0.21224,0.0409701735,90.3699999999999,21,4.974,4.857,0,2.53,4.51,0.1323,14.6,NA
"ANTKAL0289",0.45,0.6,0.964,11.992,61.28,61.758,62.06,62.06,0.664,2.5,5.198,0.632,0.05,0.112,0.0869700262,0.01,0.00304414,0.606,0.1368934672,26.022,0.2133256186,5.868,11.012,108.82,0.18,0.05,0.016307893,1.368,0.776,2.946,0.9833110812,0.25,1.476,0.04832,0.51576,0.5292,24.4,1.242,0.0125,0.0125,0.08094,0.0409701735,17.28,6.26,5.37,5.27,0,0.846,1.876,0.0512,8.42,NA
"ANTKAL0306",0.28,0.6,0.975,6.275,42.35,40.955,42.2,42.2,0.395,2.5,3.285,0.59,0.08,0.05,0.0388259045,0.01,0.00304414,0.76,0.171681576,31.33,0.2135516205,3.515,11.13,114.5,0.18,0.05,0.016307893,1.485,0.825,3.21,1.0714285715,0.25,1.79,0.04275,0.3481,0.3608,22.95,1.175,0.0125,0.0125,0.09505,0.0409701735,25.65,2.5,5.235,5.08,0,2.58,7.66,0.038,7.15,NA
