"codeplas","Al","CO3","Ca","Cl","EGV25_veld","EGV_calc","EGV_labo","EGV_tit","Fe","HCO3_OEP","K","Mg","Mn","NH4","NH4_N","NO2","NO2_N","NO3","NO3_N","NPOC","N_anorg","Na","O2_veld","O2verz","OH","PO4","PO4_P","S","SD_veld","SO4","SO4_S","Si","TN","TP","T_anion","T_kation","T_veld","WD_veld","ZS_105","ZS_550","absorptie_440","alkaliniteit","chl_a","faeo","pH_labo","pH_veld","sal_veld","verschil_EGV_abs","verschil_EGV_proc","verschil_IC_abs","verschil_IC_proc","turbiditeit"
"ANTKAL0356",0.55,0.6,1.82,18.15,98.4,95.35,97.4,97.4,1.49,2.5,7.2,1.52,0.07,0.46,0.357198323,0.01,0.00304414,2.03,0.458570525,74.24,0.5004405695,9.45,11.08,112.5,0.18,1.38,0.450097847,2.27,0.68,4.49,1.498664887,0.25,16.96,0.5995,0.8608,0.9325,21.7,0.71,0.067,0.0125,0.2326,0.0409701735,95.5,127.1,5.58,5.413,0,4.48,8.82,0.072,5.3,NA
"ANTKAL0383",0.37,0.6,1.29,13.6,67.5,69.48,68.4,68.4,2.18,2.5,3.05,0.77,0.06,0.71,0.551327846,0.01,0.00304414,3.79,0.856148911,38.35,1.053322574,7.11,10.77,114.4,0.18,0.05,0.016307893,1.62,0.46,3.05,1.018024032,1.18,3.75,0.0889,0.5492,0.6277,24.5,0.67,0.026,0.0125,0.1601,0.0409701735,164.7,87.5,4.81,4.65,0,1.6,3.8,0.087,12.1,NA
"ANTKAL0384",0.23,0.6,1.15,6.25,61,41.84,43.3,43.3,1.77,2.5,3.02,0.61,0.08,0.11,0.08541699,0.01,0.00304414,2.57,0.580554803,33.87,0.6224248475,3.82,10.88,119.1,0.18,0.05,0.016307893,0.5,NA,1.99,0.664218959,0.97,5.39,0.0673,0.3454,0.392,25.4,NA,0.0125,0.0125,0.114,0.0409701735,34.3,23.7,5.42,6.82,0,6.27,14.48,0.112,16.9,NA
"ANTKAL0385",0.28,0.6,1.59,13.09,86.1,80.8,83.7,83.7,4.61,2.5,3.28,0.93,0.05,0.8,0.621214474,0.01,0.00304414,1.88,0.424686003,41.4,0.955762446,7.24,11.5,119.7,0.18,0.05,0.016307893,4.26,0.55,12.65,4.222296395,0.83,3.21,0.0531,0.5675,0.571,26.3,0.62,0.034,0.0125,0.0927,0.0409701735,14.3,17.5,5.14,5.127,0,8.25,20.73,0.112,15.3,NA
"ANTKAL0386a",0.29,0.6,2.35,10.17,74.5,71.24,72.8,72.8,0.46,2.5,1.54,1.01,0.05,0.23,0.178599161,0.01,0.00304414,3.56,0.804192645,14.84,0.985835946,6.38,11.32,105.5,0.18,0.05,0.016307893,3.87,0.67,11.68,3.898531375,0.25,2.58,0.0307,0.5548,0.5522,27.5,0.67,0.0125,0.0125,0.0451,0.0409701735,75.2,15.3,5.28,4.95,0,5.21,9.14,0.031,4.5,NA
"ANTKAL0386b",0.36,0.6,2,15.4,97,92.35,97.1,97.1,1.37,2.5,2.73,1.01,0.05,0.53,0.411554589,0.01,0.00304414,0.75,0.169422608,28.54,0.584021337,10.05,11.3,112.6,0.18,0.05,0.016307893,3.77,0.64,10.78,3.598130841,0.25,1.99,0.0387,0.705,0.6966,27.9,0.67,0.0125,0.0125,0.1038,0.0409701735,10.5,9.6,4.9,4.62,0,6.32,11.88,0.071,11.1,NA
"ANTKAL0387",0.23,0.6,1.02,10.04,73.3,71.92,75.2,75.2,0.53,2.5,1.36,0.79,0.05,0.44,0.341667961,0.01,0.00304414,1.25,0.282371013,18.03,0.618047242,6.38,13.18,105.6,0.18,0.05,0.016307893,2.8,NA,8.24,2.750333778,0.25,1.62,0.0304,0.4832,0.4803,22.1,NA,0.0125,0.0125,0.0631,0.0409701735,16.6,12.8,4.93,4.734,0,5.54,11.01,0.033,6.1,NA
"ANTKAL0478",0.28,0.6,1.27,4.47,40.8,36.39,38.4,38.4,2.63,2.5,2.3,0.88,0.06,1.4,1.08712533,0.01,0.00304414,0.56,0.126502214,40.66,1.18504613,2.75,9.7,93.8,0.18,0.16,0.052185258,1.57,0.58,3.64,1.214953271,1.04,4.1,0.1361,0.3087,0.3618,24.3,1.19,0.081,0.0125,0.1483,0.0409701735,66.9,104.1,5.98,5.989,0,5.87,21.07,0.106,17.2,NA
"ANTKAL0482",0.84,0.6,1.37,8.17,90.6,86.41,90.7,90.7,1.44,2.5,2.23,0.73,0.06,0.44,0.341667961,0.01,0.00304414,0.96,0.216860938,39.24,0.541242326,4.98,10.33,104.1,0.18,0.05,0.016307893,2.72,NA,6.56,2.189586115,2.32,1.94,0.0608,0.4992,0.5872,21.4,NA,0.0125,0.0125,0.1553,0.0409701735,16.7,13,4.89,4.468,0,8.59,18.05,0.097,13.5,NA
"ANTKAL0483",0.66,0.6,1.22,6.2,58.5,51.25,55.3,55.3,2.06,2.5,1.73,0.56,0.05,0.36,0.279546513,0.01,0.00304414,1.35,0.304960694,48.24,0.564255805,3.56,12.21,92.5,0.18,0.1,0.032615786,1.34,NA,3.08,1.028037383,0.85,2.12,0.0917,0.3662,0.4754,20.3,NA,0.0125,0.0125,0.2057,0.0409701735,17.5,7,4.59,4.56,0,6.12,11.84,0.109,13.4,NA
"ANTKAL0492",0.06,0.6,0.69,4.94,53.5,40.07,42.8,42.8,0.22,2.5,0.96,0.5,0.05,0.05,0.0388259045,0.01,0.00304414,1.18,0.266558236,20.79,0.3084282805,2.94,11.23,121.1,0.18,0.05,0.016307893,0.5,1.07,1.86,0.62082777,0.25,2.02,0.015,0.2337,0.2417,25.2,1.07,0.0125,0.0125,0.0367,0.0409701735,6.8,10.2,4.9,4.528,0,4.56,16.46,0.02,5.2,NA
