"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc"
"ANTKAL0289";0,41;0,6;1;12,76;62,9;61,8;62,9;62,9;0,66;2,5;5,3;0,74;0,05;0,1;0,077651809;0,01;0,00304414;0,37;0,08358182;24,11;0,164277769;6,12;10,17;112,9;0,18;0,05;0,016307893;1,65;0,67;3,84;1,281708945;0,25;1,44;0,068;0,5172;0,5328;25;1,29;0,0125;0,0125;0,0687;0,0409701735;20,4;6,8;5,49;5,42;0;1,17;1,9;0,037;6,1
"ANTKAL0306";0,29;0,6;0,79;6,5;43,4;42,1;43,6;43,6;0,4;2,5;4,07;0,59;0,08;0,05;0,0388259045;0,01;0,00304414;0,17;0,038402458;31,41;0,0802725025;3,62;11,04;128,3;0,18;0,05;0,016307893;1,34;0,71;2,78;0,927903872;0,25;1,9;0,0505;0,3703;0,3825;23,2;1,13;0,0125;0,0125;0,0981;0,0409701735;19,7;2,5;5,38;5,22;0;2,31;6,9;0,034;6,2
"ANTKAL0309";0,38;0,6;1,73;8,67;74,2;70,49;73,2;73,2;0,28;2,5;2,03;1,09;0,05;0,05;0,0388259045;0,01;0,00304414;0,1;0,022589681;16,69;0,0644597255;5,77;11,37;125,8;0,18;0,05;0,016307893;4,04;1,02;11,28;3,765020027;0,62;0,83;0,015;0,5326;0,5427;21,3;1,02;0,0125;0,0125;0,0375;0,0409701735;8,7;2,5;4,65;4,536;0;2,71;3,92;0,034;7,1
"ANTKAL0330";0,39;0,6;1,41;14,78;87,7;88,09;91,7;91,7;4,25;2,5;1,59;0,87;0,05;0,23;0,178599161;0,01;0,00304414;0,46;0,103912533;54,83;0,285555834;8,78;10,6;114,8;0,18;0,05;0,016307893;2,67;0,51;7,67;2,560080107;0,65;3,72;0,015;0,6168;0,6147;29,1;0,62;0,084;0,0125;0,092;0,0409701735;36,9;27,8;5,1;4,59;0;8,12;15,84;0,096;11,2
"ANTKAL0344";0,22;0,6;1,62;10,59;81,2;78,73;81,5;81,5;1,25;2,5;1,44;1,15;0,05;0,05;0,0388259045;0,01;0,00304414;0,1;0,022589681;26,9;0,0644597255;6,77;11,6;120,2;0,18;0,05;0,016307893;3,67;NA;10,22;3,411214953;0,82;1,2;0,015;0,5663;0,5704;19,8;NA;0,0125;0,0125;0,0505;0,0409701735;8,4;2,5;4,74;4,42;0;3,58;9,42;0,036;6,4
"ANTKAL0350";0,11;0,6;1,15;6,48;55,5;51,25;54,6;54,6;0,45;2,5;2,05;0,8;0,05;0,05;0,0388259045;0,01;0,00304414;0,1;0,022589681;19,77;0,0644597255;3,39;11,32;121,5;0,18;0,05;0,016307893;2,2;NA;5,74;1,91588785;0,54;1,35;0,015;0,3629;0,3675;22,9;0,57;0,0125;0,0125;0,0441;0,0409701735;7,4;14,7;4,56;4,493;0;11,47;32,49;0,029;6,4
"ANTKAL0356";0,55;0,6;1,82;18,15;98,4;95,35;97,4;97,4;1,49;2,5;7,2;1,52;0,07;0,46;0,357198323;0,01;0,00304414;2,02;0,456311557;74,24;0,4981816015;9,45;10,15;112,5;0,18;0,53;0,172863666;2,27;0,62;4,49;1,498664887;0,25;5,16;0,2929;0,8608;0,9325;21,7;0,71;0,067;0,0125;0,2326;0,0409701735;95,5;127,1;5,56;5,41;0;4,48;6,37;0,072;5,3
"ANTKAL0383";0,37;0,6;1,29;13,6;67,5;69,48;68,4;68,4;2,18;2,5;3,05;0,77;0,06;0,11;0,08541699;0,01;0,00304414;0,46;0,103912533;38,35;0,192373663;7,11;10,05;114,4;0,18;0,05;0,016307893;1,33;0,45;2,01;0,670894526;1,18;3,75;0,0889;0,5492;0,6277;24,5;0,67;0,026;0,0125;0,1601;0,0409701735;164,7;87,5;4,73;4,65;0;1,6;3,8;0,087;12,1
"ANTKAL0384";0,23;0,6;1,15;6,08;61;41,84;40,9;40,9;1,77;2,5;3,02;0,61;0,08;0,11;0,08541699;0,01;0,00304414;2,57;0,580554803;33,87;0,6224248475;3,82;10,88;119,1;0,18;0,05;0,016307893;0,5;1,25;0,96;0,320427236;0,32;5,39;0,0673;0,3454;0,392;25,4;1,31;0,0125;0,0125;0,114;0,0409701735;34,3;23,7;5,42;6,82;0;4,04;10,69;0,112;16,9
"ANTKAL0385";0,28;0,6;1,59;13,09;86,1;80,8;83,7;83,7;4,61;2,5;3,28;0,93;0,05;0,8;0,621214474;0,01;0,00304414;0,34;0,076804916;41,4;0,696545593;7,24;10,41;119,7;0,18;0,05;0,016307893;4,26;0,45;12,65;4,222296395;0,83;3,21;0,0531;0,5675;0,571;26,3;0,62;0,034;0,0125;0,0927;0,0409701735;14,3;11,3;5,14;5,127;0;8,25;20,73;0,112;15,3
"ANTKAL0386a";0,29;0,6;2,35;10,17;74,5;71,24;72,8;72,8;0,45;2,5;1,54;1,01;0,05;0,1;0,077651809;0,01;0,00304414;1,74;0,39306045;14,84;0,473756399;6,38;10,13;105,5;0,18;0,05;0,016307893;3,87;0,67;11,68;3,898531375;0,25;1,47;0,0307;0,5548;0,5522;27,5;0,67;0,0125;0,0125;0,0451;0,0409701735;75,2;15,3;5,28;4,95;0;5,21;9,14;0,03;4,4
"ANTKAL0386b";0,32;0,6;2;15,4;97;92,35;97,1;97,1;1,35;2,5;2,73;1,01;0,05;0,36;0,279546513;0,01;0,00304414;0,51;0,115207373;26,19;0,341323824;10,05;10,43;112,6;0,18;0,05;0,016307893;3,77;0,58;10,78;3,598130841;0,25;1,91;0,0387;0,705;0,6966;27,9;0,66;0,0125;0,0125;0,0962;0,0409701735;6,8;9,6;4,9;4,62;0;6,32;11,88;0,055;7,8
"ANTKAL0387";0,23;0,6;0,9;10,04;73,3;71,92;75,2;75,2;0,53;2,5;1,29;0,79;0,05;0,05;0,0388259045;0,01;0,00304414;1,25;0,282371013;17,68;0,3242410575;6,38;9,98;105,6;0,18;0,05;0,016307893;2,8;0,71;8,24;2,750333778;0,25;1,33;0,0304;0,4832;0,4803;22,1;0,83;0,0125;0,0125;0,0631;0,0409701735;16,6;7,8;4,93;4,734;0;3,86;10,55;0,028;5,3
"ANTKAL0478";0,16;0,6;1,27;4,47;38,4;36,39;37,8;37,8;2,63;2,5;2,3;0,88;0,05;1,4;1,08712533;0,01;0,00304414;0,42;0,09487666;37,58;1,18504613;2,75;9,7;93,8;0,18;0,16;0,052185258;1,57;0,45;3,64;1,214953271;1,04;4,1;0,1361;0,3087;0,3604;24,3;1,19;0,081;0,0125;0,0955;0,0409701735;66,9;104,1;5,98;5,989;0;5,1;21,07;0,073;16
"ANTKAL0482";0,84;0,6;1,37;8,17;90,6;86,41;90,7;90,7;1,44;2,5;2,23;0,73;0,06;0,25;0,194129523;0,01;0,00304414;0,96;0,216860938;39,24;0,2587309825;4,98;9,99;104,1;0,18;0,05;0,016307893;2,72;0,39;6,56;2,189586115;2,32;1,94;0,0608;0,4992;0,5872;21,4;0,97;0,0125;0,0125;0,1553;0,0409701735;16,7;5,5;4,89;4,468;0;8,59;18,05;0,097;13,5
"ANTKAL0483";0,66;0,6;1,22;6,12;58,5;51,25;55,3;55,3;2,06;2,5;1,73;0,56;0,05;0,18;0,139773257;0,01;0,00304414;0,15;0,033884522;48,24;0,176701919;3,56;8,59;92,5;0,18;0,1;0,032615786;0,5;0,42;1,29;0,430574099;0,85;2,12;0,0917;0,3662;0,4754;20,3;0,84;0,0125;0,0125;0,2057;0,0409701735;12,6;5,7;4,47;4,56;0;4,05;7,32;0,109;13,4
"ANTKAL0492";0,05;0,6;0,48;4,94;46,8;40,07;42,8;42,8;0,21;2,5;0,73;0,5;0,05;0,05;0,0388259045;0,01;0,00304414;1,09;0,246227523;20,79;0,2880975675;2,94;10,98;121,1;0,18;0,05;0,016307893;0,5;0,96;1,64;0,547396529;0,25;1,5;0,015;0,2337;0,2417;25,2;0,96;0,0125;0,0125;0,0344;0,0409701735;2,5;10,2;4,9;4,528;0;4,56;16,46;0,02;5,2
