"codeplas","Al","CO3","Ca","Cl","EGV25_veld","EGV_calc","EGV_labo","EGV_tit","Fe","HCO3_OEP","K","Mg","Mn","NH4","NH4_N","NO2","NO2_N","NO3","NO3_N","NPOC","N_anorg","Na","O2_veld","O2verz","OH","PO4","PO4_P","S","SD_veld","SO4","SO4_S","Si","TN","TP","T_anion","T_kation","T_veld","WD_veld","ZS_105","ZS_550","absorptie_440","alkaliniteit","chl_a","faeo","pH_labo","pH_veld","sal_veld","verschil_EGV_abs","verschil_EGV_proc","verschil_IC_abs","verschil_IC_proc","turbiditeit"
"ANTKAL0309",0.27,0.6,0.49,4.575,33.95,32.515,33.5,33.5,0.17,2.5,0.295,0.315,0.02,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,13.585,0.053164885,3.085,10.165,92.85,0.18,0.05,0.016307893,0.5,0.585,1.08,0.360480641,0.1,0.68,0.015,0.2196,0.25095,8.7,0.65,0.0125,0.0125,0.0143,0.0409701735,4.15,2.5,4.39,4.2745,0,0.765,2.205,0.0125,1.4,NA
"ANTKAL0330",0.121,0.6,0.635,4.724,35.17,32.119,33.56,33.56,0.05,2.5,0.825,0.381,0.027,0.05,0.0388259045,0.01,0.00304414,0.092,0.02078250645,6.674,0.06265255095,2.731,6.758,71.95,0.18,0.05,0.016307893,0.5,0.146,0.857,0.2860480639,0.1,0.802,0.015,0.25309,0.28087,6.49,0.186,0.0125,0.0125,0.00298,0.0409701735,2.5,2.5,4.268,4.0924,0,1.037,1.893,0.0017,0.17,NA
"ANTKAL0344",0.075,0.6,0.53,4.895,39.15,32.85,35.55,35.55,0.43,2.5,0.57,0.375,0.015,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,13.925,0.053164885,3.03,8.885,86,0.18,0.05,0.016307893,0.5,0.282,0.965,0.322096128,0.475,1.02,0.015,0.25165,0.27765,8.35,0.282,0.0125,0.0125,0.0202,0.0409701735,2.5,2.5,4.395,4.251,0,1.3,2.895,0.0045,0.5,NA
"ANTKAL0350",0.05,0.6,0.545,4.01,34.15,24.845,33.05,33.05,0.175,2.5,0.555,0.365,0.03,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,17.13,0.053164885,2.205,9.655,85.4,0.18,0.05,0.016307893,0.5,0.258,0.555,0.185246996,0.1,0.945,0.015,0.2184,0.2199,8.6,0.275,0.0125,0.0125,0.02005,0.0409701735,2.5,2.5,4.235,3.989,0,2.365,5.18,0.003,0.35,NA
"ANTKAL0356",0.12,0.6,1.221,4.519,37.79,34.437,36.82,36.82,0.399,2.5,1.675,1.099,0.041,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,26.952,0.053164885,2.846,6.192,59.24,0.18,0.05,0.016307893,0.5,0.27,0.26,0.08678237655,0.1,1.787,0.06474,0.36911,0.38285,9.16,0.288,0.0125,0.0125,0.07548,0.0409701735,2.5,2.5,4.723,4.5935,0,1.978,4.109,0.0048,0.55,NA
"ANTKAL0383",0.257,0.6,0.82,5.923,42.77,43.073,42.52,42.52,0.967,2.5,1.589,0.477,0.04,0.05,0.0388259045,0.01,0.00304414,0.085,0.01920122885,24.878,0.06107127335,3.371,8.872,82.16,0.18,0.05,0.016307893,0.5,0.25,0.589,0.19659546035,0.205,1.57,0.015,0.31347,0.39557,9.18,0.372,0.0125,0.0125,0.06479,0.0409701735,6.91,4.53,4.334,4.3228,0,0.703,1.253,0.0383,4.26,NA
"ANTKAL0384",0.05,0.6,0.83,5.156,33.12,30.174,32.28,32.26,0.205,2.5,0.169,0.514,0.05,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,15.354,0.06107127335,2.917,4.867,50.37,0.18,0.05,0.016307893,0.5,0.418,0.368,0.1228304405,0.25,0.882,0.015,0.24588,0.27037,7.23,1.13,0.0125,0.0125,0.02405,0.0409701735,2.5,2.5,4.571,4.3692,0,1.234,3.099,0.0144,2.78,NA
"ANTKAL0385",0.08,0.6,0.664,4.792,33.3,37.19,34.6,34.6,0.236,2.5,1.348,0.382,0.03,0.05,0.0388259045,0.01,0.00304414,0.2,0.045179362,6.926,0.0884047873,2.74,8.074,82.26,0.18,0.05,0.016307893,0.5,0.264,1.278,0.4265687586,0.1,0.562,0.015,0.28296,0.31858,8.56,0.382,0.0125,0.0125,0.00172,0.0409701735,2.5,2.5,4.464,4.3172,0,1.188,2.584,0.0028,0.26,NA
"ANTKAL0386a",0.114,0.6,1.3,5.544,41.68,40.374,41.535,41.55,0.085,2.5,1.235,0.513,0.03,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,5.366,0.053164885,3.244,8.476,94.42,0.18,0.05,0.016307893,1.378,0.494,3.51,1.171562083,0.1,0.582,0.015,0.3196,0.33958,9.21,0.494,0.0125,0.0125,0.00279,0.0409701735,4.32,2.5,4.609,4.6131,0,0.568,1.522,0.0024,0.17,NA
"ANTKAL0386b",0.128,0.6,0.81,5.13,40.1,38.697,40.63,40.63,0.05,2.5,0.602,0.427,0.037,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,6.234,0.053164885,2.752,8.873,92.21,0.18,0.05,0.016307893,0.5,0.295,1.381,0.4609479304,0.1,0.628,0.015,0.29007,0.31344,9.07,0.295,0.0125,0.0125,0.00316,0.0409701735,2.5,2.5,4.481,4.355,0,0.274,0.639,0.005,0.6,NA
"ANTKAL0387",0.117,0.6,0.66,4.704,37.71,33.818,36,36,0.05,2.5,1.104,0.42,0.03,0.05,0.0388259045,0.01,0.00304414,0.159,0.0359175929,6.136,0.0777876374,2.778,8.735,89.6,0.18,0.05,0.016307893,0.5,0.544,1.785,0.5957943923,0.1,0.628,0.015,0.25417,0.27954,6.09,0.6,0.0125,0.0125,0.00502,0.0409701735,2.5,2.5,4.336,4.244,0,1.174,2.348,0.0027,0.27,NA
"ANTKAL0478",0.095,0.6,0.514,1.92,28.76,28.196,23.81,23.81,0.791,2.5,0.293,0.467,0.037,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,19.399,0.053164885,1.841,4.802,48.13,0.18,0.05,0.016307893,0.5,0.153,0.36,0.1201602139,0.1,1.04,0.015,0.23372,0.28374,9.62,0.195,0.0125,0.0125,0.04343,0.0409701735,2.5,2.5,4.528,4.2984,0,0.987,2.611,0.0421,7.37,NA
"ANTKAL0482",0.29,0.6,0.935,4.665,48.15,42.34,47.4,47.4,0.41,2.5,1.375,0.49,0.05,0.05,0.0388259045,0.01,0.00304414,0.1,0.022589681,25.47,0.14211153475,2.94,5.465,57.45,0.18,0.05,0.016307893,0.5,0.222,0.735,0.2453271025,0.175,1.52,0.015,0.30215,0.36505,4.5,0.222,0.0125,0.0125,0.05885,0.0409701735,2.5,2.5,4.19,4.006,0,1.37,2.875,0.028,3.95,NA
"ANTKAL0483",0.18,0.6,0.485,2.85,33.45,32.17,33.4,33.4,0.46,2.5,0.555,0.265,0.035,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,19.49,0.05881230525,1.4,5.46,56.75,0.18,0.05,0.016307893,0.5,0.17,0.73,0.243658211,0.25,1.04,0.015,0.17565,0.2147,4.4,0.17,0.0125,0.0125,0.0561,0.0409701735,2.5,2.5,4.335,4.1485,0,0.35,0.87,0.02,4.25,NA
"ANTKAL0492",0.025,0.6,0.248,3.516,29.15,25.289,27.3,28.1,0.05,2.5,0.05,0.301,0.04,0.05,0.0388259045,0.01,0.00304414,0.05,0.0112948405,10.873,0.053164885,1.893,9.323,98.12,0.18,0.05,0.016307893,0.5,0.285,0.371,0.1238317754,0.1,0.57,0.015,0.17021,0.16952,8.94,0.285,0.0125,0.0125,0.01112,0.0409701735,2.5,2.5,4.376,4.0494,0,0.713,2.358,7e-04,0.17,NA
